category,bfs,municipality,provider,price
Typ II,2196,Fribourg,Groupe E Celsius,8.06
Typ II,2197,Givisiez,Groupe E Celsius,8.06
Typ II,2198,Granges-Paccot,Groupe E Celsius,8.06
Typ II,2206,Marly,Groupe E Celsius,8.06
Typ II,2208,Matran,Groupe E Celsius,8.06
Typ II,2228,Villars-sur-Glâne,Groupe E Celsius,8.06
Typ II,2233,Hauterive (FR),Groupe E Celsius,8.06
Typ II,2235,La Sonnaz,Groupe E Celsius,8.06
Typ II,2250,Courgevaux,Groupe E Celsius,8.06
Typ II,2254,Courtepin,Groupe E Celsius,8.06
Typ II,2274,Muntelier,Groupe E Celsius,8.06
Typ II,2275,Murten,Groupe E Celsius,8.06
Typ II,2276,Ried bei Kerzers (neu),Groupe E Celsius,8.06
Typ II,2293,Düdingen,Groupe E Celsius,8.06
Typ II,2306,Tafers,Groupe E Celsius,8.06
Typ II,2321,Attalens,Energiapro SA,11.67
Typ II,2323,Bossonnens,Energiapro SA,11.67
Typ II,2325,Châtel-Saint-Denis,Energiapro SA,11.67
Typ II,2328,Granges (Veveyse),Energiapro SA,11.67
Typ II,2333,Remaufens,Energiapro SA,11.67
Typ II,2338,La Verrerie,Groupe E Celsius,8.06
Typ II,5401,Aigle,Energiapro SA,11.67
Typ II,5402,Bex,Energiapro SA,11.67
Typ II,5403,Chessel,Energiapro SA,11.67
Typ II,5404,Corbeyrier,Energiapro SA,11.67
Typ II,5405,Gryon,Energiapro SA,11.67
Typ II,5406,Lavey-Morcles,Energiapro SA,11.67
Typ II,5407,Leysin,Energiapro SA,11.67
Typ II,5408,Noville,Energiapro SA,11.67
Typ II,5409,Ollon,Energiapro SA,11.67
Typ II,5412,Rennaz,Energiapro SA,11.67
Typ II,5413,Roche (VD),Energiapro SA,11.67
Typ II,5414,Villeneuve (VD),Energiapro SA,11.67
Typ II,5415,Yvorne,Energiapro SA,11.67
Typ II,5421,Apples,Energiapro SA,11.67
Typ II,5422,Aubonne,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5423,Ballens,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5425,Bière,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5427,Féchy,Services industriels Lausanne,10.69
Typ II,5428,Gimel,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5431,Mollens (VD),"Commune d""Aubonne, Services Industriels",8.03
Typ II,5432,Montherod,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5435,Saint-Livres,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5437,Saubraz,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5451,Avenches,Groupe E Celsius,8.06
Typ II,5458,Faoug,Groupe E Celsius,8.06
Typ II,5471,Bettens,Energiapro SA,11.67
Typ II,5472,Bournens,Energiapro SA,11.67
Typ II,5473,Boussens,Energiapro SA,11.67
Typ II,5474,La Chaux (Cossonay),Energiapro SA,11.67
Typ II,5475,Chavannes-le-Veyron,Energiapro SA,11.67
Typ II,5477,Cossonay,Energiapro SA,11.67
Typ II,5478,Cottens (VD),Energiapro SA,11.67
Typ II,5479,Cuarnens,Energiapro SA,11.67
Typ II,5480,Daillens,Energiapro SA,11.67
Typ II,5481,Dizy,Energiapro SA,11.67
Typ II,5482,Eclépens,Energiapro SA,11.67
Typ II,5483,Ferreyres,Energiapro SA,11.67
Typ II,5484,Gollion,Energiapro SA,11.67
Typ II,5485,Grancy,Energiapro SA,11.67
Typ II,5487,Lussery-Villars,Energiapro SA,11.67
Typ II,5488,Mauraz,Energiapro SA,11.67
Typ II,5489,Mex (VD),Energiapro SA,11.67
Typ II,5492,Montricher,Energiapro SA,11.67
Typ II,5493,Orny,Energiapro SA,11.67
Typ II,5494,Pampigny,Energiapro SA,11.67
Typ II,5495,Penthalaz,Energiapro SA,11.67
Typ II,5496,Penthaz,Energiapro SA,11.67
Typ II,5498,La Sarraz,Energiapro SA,11.67
Typ II,5499,Senarclens,Energiapro SA,11.67
Typ II,5500,Sévery,Energiapro SA,11.67
Typ II,5501,Sullens,Energiapro SA,11.67
Typ II,5503,Vufflens-la-Ville,Energiapro SA,11.67
Typ II,5511,Assens,Energiapro SA,11.67
Typ II,5512,Bercher,Energiapro SA,11.67
Typ II,5513,Bioley-Orjulaz,Energiapro SA,11.67
Typ II,5514,Bottens,Energiapro SA,11.67
Typ II,5515,Bretigny-sur-Morrens,Services industriels Lausanne,10.69
Typ II,5516,Cugy (VD),Services industriels Lausanne,10.69
Typ II,5518,Echallens,Energiapro SA,11.67
Typ II,5521,Etagnières,Energiapro SA,11.67
Typ II,5523,Froideville,Energiapro SA,11.67
Typ II,5527,Morrens (VD),Services industriels Lausanne,10.69
Typ II,5530,Pailly,Energiapro SA,11.67
Typ II,5534,Rueyres,Energiapro SA,11.67
